flt_id,日期,航司,航班号,计划起飞,实际起飞,计划降落,实际降落,实际上轮档,计划始发站,实际始发站,计划到达站,实际到达站,month_of_year,week_of_year,day_of_week,day_of_year,minutes_of_day,计划飞行时长,实际飞行时长,实际滑行时长,实际上轮档时长,机型
436862027,2024/3/13 0:00,MU,6531,2024/3/13 20:10,2024/3/13 20:09,2024/3/13 22:25,2024/3/13 22:06,2024/3/13 22:15,TAO,TAO,XIY,XIY,3,11,3,73,1345,135,117,9,126,32L
436715014,2024/3/13 0:00,MU,2302,2024/3/13 13:40,2024/3/13 13:59,2024/3/13 16:25,2024/3/13 16:14,2024/3/13 16:20,CAN,CAN,XIY,XIY,3,11,3,73,985,165,135,6,141,32L
436646603,2024/3/13 0:00,MU,2683,2024/3/13 8:20,2024/3/13 8:26,2024/3/13 10:40,2024/3/13 10:26,2024/3/13 10:31,NTG,NTG,XIY,XIY,3,11,3,73,640,140,120,5,125,320
436875693,2024/3/13 0:00,MU,5553,2024/3/13 14:50,2024/3/13 14:44,2024/3/13 16:45,2024/3/13 16:20,2024/3/13 16:24,KHN,KHN,XIY,XIY,3,11,3,73,1005,115,96,4,100,320
436800832,2024/3/13 0:00,MU,9878,2024/3/13 9:25,2024/3/13 9:45,2024/3/13 10:50,2024/3/13 11:20,2024/3/13 11:25,WUH,WUH,XIY,XIY,3,11,3,73,650,85,95,5,100,320
436563577,2024/3/13 0:00,MU,2769,2024/3/13 11:45,2024/3/13 11:59,2024/3/13 14:00,2024/3/13 13:51,2024/3/13 14:00,NKG,NKG,XIY,XIY,3,11,3,73,840,135,112,9,121,32L
436560285,2024/3/13 0:00,MU,2162,2024/3/13 16:00,2024/3/13 16:15,2024/3/13 18:45,2024/3/13 18:38,2024/3/13 18:44,PVG,PVG,XIY,XIY,3,11,3,73,1125,165,143,6,149,32L
436794538,2024/3/13 0:00,MU,2210,2024/3/13 12:30,2024/3/13 12:49,2024/3/13 15:40,2024/3/13 15:40,2024/3/13 15:45,SWA,SWA,XIY,XIY,3,11,3,73,940,190,171,5,176,32L
436476109,2024/3/13 0:00,MU,5225,2024/3/13 16:45,2024/3/13 17:06,2024/3/13 20:00,2024/3/13 19:24,2024/3/13 19:32,XMN,XMN,XIY,XIY,3,11,3,73,1200,195,138,8,146,320
436751697,2024/3/13 0:00,MU,5791,2024/3/13 8:35,2024/3/13 8:32,2024/3/13 11:10,2024/3/13 10:52,2024/3/13 11:01,JHG,JHG,XIY,XIY,3,11,3,73,670,155,140,9,149,737
436826672,2024/3/13 0:00,MU,2212,2024/3/13 16:55,2024/3/13 17:09,2024/3/13 18:00,2024/3/13 17:58,2024/3/13 18:03,UYN,UYN,XIY,XIY,3,11,3,73,1080,65,49,5,54,320
436581047,2024/3/13 0:00,MU,2389,2024/3/13 17:45,2024/3/13 17:46,2024/3/13 20:30,2024/3/13 20:24,2024/3/13 20:30,NGB,NGB,XIY,XIY,3,11,3,73,1230,165,158,6,164,320
436695900,2024/3/13 0:00,MU,2366,2024/3/13 21:20,2024/3/13 21:19,2024/3/13 22:35,2024/3/13 22:26,2024/3/13 22:32,DSN,DSN,XIY,XIY,3,11,3,73,1355,75,67,6,73,320
436476517,2024/3/13 0:00,MU,9564,2024/3/13 7:50,2024/3/13 7:54,2024/3/13 9:25,2024/3/13 9:15,2024/3/13 9:22,HET,HET,XIY,XIY,3,11,3,73,565,95,81,7,88,319
436776264,2024/3/13 0:00,MU,2225,2024/3/13 9:15,2024/3/13 9:22,2024/3/13 11:45,2024/3/13 11:41,2024/3/13 11:45,SHA,SHA,XIY,XIY,3,11,3,73,705,150,139,4,143,325
436649221,2024/3/13 0:00,MU,2983,2024/3/13 13:20,2024/3/13 13:23,2024/3/13 15:30,2024/3/13 15:10,2024/3/13 15:14,NKG,NKG,XIY,XIY,3,11,3,73,930,130,107,4,111,32L
436766940,2024/3/13 0:00,MU,2393,2024/3/13 12:40,2024/3/13 12:49,2024/3/13 15:30,2024/3/13 15:17,2024/3/13 15:21,NGB,NGB,XIY,XIY,3,11,3,73,930,170,148,4,152,32L
436579392,2024/3/13 0:00,MU,5727,2024/3/13 8:15,2024/3/13 8:22,2024/3/13 10:30,2024/3/13 10:10,2024/3/13 10:16,KMG,KMG,XIY,XIY,3,11,3,73,630,135,108,6,114,737
